,Agriculture,Forestry,Fishery,Mining Oil&Gas,Remainder Mining,Supporting Mining,Food Supplements,Beverages,Tobacco,Textile&Clothing,Wood,Paper,Graphical,Oil,Chemical,Pharmaceutical,Rubber&Plastic,Building Material,Raw Metal,Metal Product,Electrotechnical,Electrical devices,Machines,Car,Remainder Transport,Furniture,Remainder industry,Reparation Machines,Energy,Waterpipes,Sewerage,General Building,Ground&Water Building,Specialized building,Car trade&repair,Wholesale,Retail,Land Transport,Water Transport,Air Transport,Storage for transport,Postal,Lodging,Restaurants,Publishers,"Production of TV, radio & music",Broadcasting,Telecommunication,IT-services,Info services,Banking,Insurers&pensions,Remainder Financial Services,Rental,Exploitation real estate,Legal,Holdings,Architecture,Research,Advertising,Design,Veterinary,Rental of movable property,Employment Agencies,Travel services,Security,Cleaning,Remaining Services,Public services,Education,Healthcare,Caretaking,Creative,Libraries&Archives,Lotteries,Sport,Hobby Associations,Reparation goods,Remainder of Personal Service Provision,Households with personnel
Agriculture,5227.0,15.0,2.0,7.0,0.0,0.0,8914.0,30.0,25.0,79.0,1.0,1.0,1.0,4.0,20.0,1.0,23.0,3.0,5.0,5.0,2.0,0.0,1.0,0.0,0.0,3.0,10.0,4.0,3.0,2.0,5.0,10.0,44.0,77.0,3.0,192.0,30.0,56.0,0.0,0.0,78.0,0.0,31.0,96.0,0.0,1.0,0.0,8.0,3.0,0.0,2.0,2.0,0.0,1.0,20.0,2.0,8.0,0.0,15.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,100.0,47.0,117.0,18.0,47.0,76.0,2.0,5.0,2.0,8.0,4.0,0.0,22.0,0.0
Forestry,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Fishery,0.0,0.0,2.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Mining Oil&Gas,345.0,0.0,0.0,148.0,4.0,4.0,299.0,38.0,1.0,9.0,2.0,80.0,6.0,598.0,761.0,19.0,40.0,96.0,99.0,50.0,0.0,0.0,20.0,4.0,8.0,5.0,3.0,10.0,248.0,5.0,14.0,7.0,3.0,14.0,11.0,150.0,36.0,12.0,2.0,1.0,20.0,1.0,39.0,68.0,0.0,1.0,1.0,4.0,6.0,1.0,8.0,5.0,2.0,3.0,19.0,7.0,9.0,4.0,5.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,4.0,4.0,51.0,61.0,35.0,68.0,9.0,6.0,6.0,27.0,44.0,1.0,9.0,0.0
Remainder Mining,16.0,0.0,0.0,0.0,123.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,124.0,60.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Supporting Mining,0.0,0.0,0.0,34.0,0.0,407.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Food Supplements,4092.0,0.0,13.0,1.0,0.0,0.0,7420.0,144.0,1.0,8.0,0.0,25.0,1.0,140.0,210.0,330.0,31.0,0.0,1.0,11.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,20.0,0.0,193.0,1.0,0.0,14.0,4.0,230.0,12.0,3.0,0.0,1.0,3.0,0.0,261.0,1292.0,2.0,3.0,1.0,1.0,5.0,1.0,8.0,10.0,7.0,6.0,2.0,3.0,72.0,2.0,7.0,1.0,0.0,0.0,1.0,3.0,3.0,0.0,1.0,1.0,82.0,42.0,235.0,558.0,15.0,25.0,5.0,96.0,2.0,0.0,39.0,0.0
Beverages,2.0,0.0,0.0,0.0,0.0,0.0,27.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,16.0,2.0,2.0,1.0,0.0,0.0,0.0,20.0,377.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,2.0,0.0,0.0,1.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,10.0,17.0,5.0,23.0,6.0,2.0,11.0,248.0,4.0,0.0,13.0,0.0
Tobacco,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Textile&Clothing,4.0,0.0,2.0,0.0,0.0,0.0,6.0,5.0,0.0,376.0,1.0,5.0,6.0,0.0,6.0,1.0,17.0,11.0,0.0,8.0,0.0,20.0,35.0,4.0,4.0,5.0,6.0,0.0,0.0,0.0,14.0,13.0,22.0,12.0,3.0,24.0,13.0,0.0,1.0,0.0,2.0,0.0,3.0,2.0,8.0,1.0,0.0,7.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,2.0,36.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,11.0,86.0,3.0,15.0,5.0,14.0,19.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0
Wood,27.0,0.0,0.0,0.0,1.0,0.0,47.0,48.0,1.0,18.0,86.0,10.0,4.0,2.0,22.0,8.0,21.0,28.0,2.0,36.0,5.0,2.0,10.0,0.0,2.0,25.0,29.0,0.0,3.0,0.0,0.0,630.0,47.0,134.0,0.0,18.0,46.0,9.0,0.0,0.0,33.0,0.0,4.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,3.0,73.0,172.0,2.0,5.0,0.0,7.0,5.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,133.0,17.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,53.0,0.0
