,Agriculture,Forestry,Fishery,Mining of Oil and Gas,Remainder Mining of Resources (No Oil and Gas),Supporting Activities of Resource Mining,Food supplement Industry,Beverage Industry,Tobacco Industry,"Textile, Clothing and Leather Industry",Wood Industry,Paper Industry,Graphical Industry,Oil Industry,Chemical Industry,Pharmaceutical Industry,Rubber and Plastic Industry,Building Material Industry,Raw Metal Industry,Metal Product Industry,Electrotechnical Industry,Electrical Device Industry,Machine Industry,Car Industry,Remainder Transport Devices Industry,Furniture Industry,Remainder of Industry,Reparation and Installation of Machines,Energy Companies,Water Pipe Company ,"Sewerage, Waste, Sanitation",General Building and Project Development,"Ground, Water and Road Building",Specialized Building,Car sales and reparation,Wholesale,Retail - not cars,Transport over land,Transport over water,Transport through air,"Storage, Services, and Transport",Post and couriers,Lodging,Restaurants and Bars,Publishers,"Production of Movies, TV, Radio, Music",Broadcasting radio and television,Telecommunication,IT-services,Services in the area of information,Banking Sector,Insurers and Pension Funds,Remainder of Financial Services,Rental value property ownership,Exploitation real estate,Legal services and administration,Holdings and management advice companies,Architects and Engineering Companies,Research,Advertising and market research,"Design, Photography, Translation Companies",Veterinary Services,Rental of Movable Property,Employment Agency and Labor Mediation,Travelling Agencies,Security and Search Services,Cleaning Companies,Remaining Business Services,Public Governance and Government Services,Education,Healthcare,Caretaking and Wellbeing,"Creative Services, Art and Amusement","Libraries, Archives, Museums",Lotteries and Other Chance Games,Sport and Recreation,Idealistic and Hobby Associations ,Repairing of Consumer Articles,Remainder of Personal Service Provision,Households with personnel
Agriculture,5717.0,15.0,2.0,6.0,0.0,0.0,10295.0,20.0,36.0,98.0,1.0,2.0,1.0,3.0,18.0,0.0,37.0,3.0,6.0,5.0,1.0,0.0,1.0,0.0,0.0,3.0,10.0,5.0,2.0,2.0,5.0,11.0,38.0,89.0,3.0,239.0,35.0,56.0,0.0,0.0,79.0,0.0,33.0,113.0,0.0,1.0,0.0,8.0,2.0,0.0,1.0,1.0,0.0,1.0,20.0,2.0,9.0,0.0,18.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,81.0,47.0,118.0,16.0,45.0,77.0,2.0,3.0,2.0,8.0,4.0,0.0,19.0,0.0
Forestry,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fishery,0.0,0.0,2.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mining of Oil and Gas,163.0,0.0,0.0,66.0,0.0,1.0,171.0,25.0,0.0,4.0,0.0,48.0,2.0,390.0,472.0,12.0,26.0,66.0,71.0,36.0,0.0,0.0,10.0,1.0,6.0,2.0,0.0,10.0,77.0,5.0,8.0,2.0,1.0,5.0,5.0,112.0,23.0,8.0,1.0,0.0,11.0,1.0,26.0,46.0,0.0,1.0,2.0,1.0,5.0,0.0,5.0,2.0,0.0,7.0,12.0,3.0,3.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,3.0,1.0,30.0,33.0,18.0,42.0,4.0,3.0,4.0,17.0,28.0,0.0,4.0,0.0
Remainder Mining of Resources (No Oil and Gas),16.0,0.0,0.0,0.0,137.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,128.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,108.0,76.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Supporting Activities of Resource Mining,0.0,0.0,0.0,24.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Food supplement Industry,4200.0,0.0,16.0,0.0,0.0,0.0,8632.0,134.0,1.0,11.0,0.0,33.0,0.0,125.0,209.0,216.0,21.0,2.0,1.0,8.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,18.0,1.0,219.0,2.0,0.0,20.0,3.0,259.0,10.0,4.0,0.0,2.0,2.0,1.0,291.0,1402.0,2.0,3.0,0.0,0.0,5.0,1.0,7.0,8.0,8.0,7.0,2.0,4.0,75.0,3.0,11.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,1.0,1.0,79.0,44.0,220.0,535.0,14.0,28.0,5.0,91.0,1.0,0.0,38.0,0.0
Beverage Industry,1.0,0.0,0.0,0.0,0.0,0.0,20.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,19.0,3.0,2.0,1.0,0.0,1.0,0.0,25.0,454.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,3.0,0.0,1.0,1.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,10.0,21.0,4.0,25.0,7.0,3.0,11.0,273.0,6.0,0.0,13.0,0.0
Tobacco Industry,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Textile, Clothing and Leather Industry",3.0,0.0,2.0,0.0,0.0,0.0,6.0,3.0,0.0,309.0,5.0,9.0,4.0,0.0,5.0,1.0,16.0,8.0,1.0,5.0,0.0,27.0,14.0,7.0,2.0,4.0,3.0,0.0,0.0,0.0,5.0,15.0,15.0,13.0,5.0,23.0,11.0,0.0,1.0,0.0,3.0,0.0,2.0,2.0,9.0,1.0,1.0,6.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,39.0,2.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,11.0,86.0,2.0,12.0,5.0,13.0,17.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0
