,Agriculture,Forestry,Fishery,Mining Oil&Gas,Remainder Mining,Supporting Mining,Food Supplements,Beverages,Tobacco,Textile&Clothing,Wood,Paper,Graphical,Oil,Chemical,Pharmaceutical,Rubber&Plastic,Building Material,Raw Metal,Metal Product,Electrotechnical,Electrical devices,Machines,Car,Remainder Transport,Furniture,Remainder industry,Reparation Machines,Energy,Waterpipes,Sewerage,General Building,Ground&Water Building,Specialized building,Car trade&repair,Wholesale,Retail,Land Transport,Water Transport,Air Transport,Storage for transport,Postal,Lodging,Restaurants,Publishers,"Production of TV, radio & music",Broadcasting,Telecommunication,IT-services,Info services,Banking,Insurers&pensions,Remainder Financial Services,Rental,Exploitation real estate,Legal,Holdings,Architecture,Research,Advertising,Design,Veterinary,Rental of movable property,Employment Agencies,Travel services,Security,Cleaning,Remaining Services,Public services,Education,Healthcare,Caretaking,Creative,Libraries&Archives,Lotteries,Sport,Hobby Associations,Reparation goods,Remainder of Personal Service Provision,Households with personnel
Agriculture,5754.0,21.0,2.0,5.0,0.0,0.0,10160.0,19.0,28.0,90.0,0.0,2.0,1.0,4.0,17.0,0.0,21.0,4.0,6.0,5.0,1.0,0.0,1.0,0.0,0.0,3.0,10.0,5.0,3.0,1.0,5.0,11.0,47.0,110.0,4.0,222.0,39.0,65.0,0.0,0.0,78.0,0.0,33.0,132.0,0.0,1.0,0.0,6.0,2.0,0.0,2.0,1.0,0.0,1.0,20.0,2.0,9.0,0.0,17.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,65.0,53.0,111.0,14.0,58.0,99.0,3.0,3.0,2.0,9.0,4.0,0.0,19.0,0.0
Forestry,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fishery,0.0,0.0,2.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mining Oil&Gas,90.0,0.0,0.0,49.0,0.0,0.0,127.0,26.0,0.0,2.0,0.0,39.0,2.0,348.0,367.0,11.0,24.0,60.0,68.0,32.0,0.0,0.0,8.0,0.0,6.0,1.0,0.0,11.0,43.0,5.0,4.0,1.0,0.0,3.0,3.0,75.0,16.0,8.0,1.0,0.0,8.0,0.0,17.0,31.0,0.0,1.0,1.0,0.0,5.0,0.0,10.0,1.0,0.0,6.0,6.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,17.0,17.0,9.0,24.0,1.0,2.0,2.0,12.0,16.0,0.0,2.0,0.0
Remainder Mining,18.0,0.0,0.0,0.0,147.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,147.0,95.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Supporting Mining,0.0,0.0,0.0,14.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Food Supplements,4450.0,0.0,17.0,1.0,0.0,0.0,8588.0,131.0,1.0,10.0,0.0,70.0,1.0,125.0,268.0,279.0,19.0,2.0,2.0,8.0,0.0,2.0,1.0,0.0,1.0,4.0,0.0,1.0,23.0,1.0,216.0,1.0,0.0,25.0,4.0,227.0,9.0,5.0,0.0,1.0,2.0,1.0,315.0,1495.0,2.0,2.0,0.0,0.0,7.0,1.0,8.0,5.0,12.0,10.0,1.0,4.0,40.0,3.0,11.0,1.0,2.0,0.0,1.0,2.0,3.0,0.0,1.0,1.0,85.0,45.0,226.0,572.0,15.0,25.0,5.0,95.0,1.0,0.0,40.0,0.0
Beverages,2.0,0.0,0.0,0.0,0.0,0.0,24.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,15.0,3.0,2.0,1.0,0.0,1.0,0.0,27.0,476.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,4.0,3.0,0.0,0.0,1.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,1.0,10.0,18.0,4.0,27.0,8.0,2.0,10.0,278.0,4.0,0.0,14.0,0.0
Tobacco,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Textile&Clothing,2.0,0.0,1.0,0.0,0.0,0.0,6.0,2.0,0.0,305.0,5.0,8.0,5.0,0.0,8.0,1.0,13.0,7.0,1.0,4.0,0.0,24.0,13.0,19.0,2.0,3.0,4.0,0.0,0.0,0.0,4.0,20.0,20.0,16.0,3.0,25.0,12.0,0.0,1.0,0.0,4.0,0.0,2.0,3.0,16.0,1.0,1.0,6.0,1.0,5.0,0.0,1.0,0.0,1.0,2.0,2.0,45.0,2.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,13.0,104.0,2.0,14.0,5.0,17.0,19.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,0.0
Wood,26.0,0.0,0.0,0.0,1.0,0.0,54.0,61.0,1.0,19.0,160.0,18.0,2.0,2.0,40.0,9.0,32.0,32.0,0.0,40.0,5.0,1.0,20.0,0.0,2.0,33.0,18.0,0.0,2.0,0.0,0.0,1061.0,51.0,179.0,0.0,22.0,52.0,10.0,0.0,0.0,44.0,0.0,17.0,5.0,2.0,2.0,1.0,1.0,0.0,0.0,3.0,2.0,3.0,98.0,215.0,2.0,4.0,0.0,8.0,6.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,159.0,16.0,4.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,74.0,0.0
