,Agriculture,Forestry,Fishery,Mining of Oil and Gas,Remainder Mining of Resources (No Oil and Gas),Supporting Activities of Resource Mining,Food supplement Industry,Beverage Industry,Tobacco Industry,"Textile, Clothing and Leather Industry",Wood Industry,Paper Industry,Graphical Industry,Oil Industry,Chemical Industry,Pharmaceutical Industry,Rubber and Plastic Industry,Building Material Industry,Raw Metal Industry,Metal Product Industry,Electrotechnical Industry,Electrical Device Industry,Machine Industry,Car Industry,Remainder Transport Devices Industry,Furniture Industry,Remainder of Industry,Reparation and Installation of Machines,Energy Companies,Water Pipe Company ,"Sewerage, Waste, Sanitation",General Building and Project Development,"Ground, Water and Road Building",Specialized Building,Car sales and reparation,Wholesale,Retail - not cars,Transport over land,Transport over water,Transport through air,"Storage, Services, and Transport",Post and couriers,Lodging,Restaurants and Bars,Publishers,"Production of Movies, TV, Radio, Music",Broadcasting radio and television,Telecommunication,IT-services,Services in the area of information,Banking Sector,Insurers and Pension Funds,Remainder of Financial Services,Rental value property ownership,Exploitation real estate,Legal services and administration,Holdings and management advice companies,Architects and Engineering Companies,Research,Advertising and market research,"Design, Photography, Translation Companies",Veterinary Services,Rental of Movable Property,Employment Agency and Labor Mediation,Travelling Agencies,Security and Search Services,Cleaning Companies,Remaining Business Services,Public Governance and Government Services,Education,Healthcare,Caretaking and Wellbeing,"Creative Services, Art and Amusement","Libraries, Archives, Museums",Lotteries and Other Chance Games,Sport and Recreation,Idealistic and Hobby Associations ,Repairing of Consumer Articles,Remainder of Personal Service Provision,Households with personnel
Agriculture,5261.721766077396,15.63160493827161,1.0,6.0,0.0,0.0,9529.800417117283,19.047619047619047,20.76388888888889,113.76185883205491,,2.0,1.0,4.0,18.941358024691358,,20.896296296296295,3.0,6.0,4.166666666666667,2.0,0.0,1.0,0.0,0.0,4.0,9.0,4.166666666666667,2.0,2.0,6.0,12.0,42.883468834688344,104.62921348314605,3.0,196.64800747450954,35.17241379310345,64.02527658887185,0.0,0.0,82.66613924050633,0.0,29.84326018808778,110.7628791071269,0.0,2.0,0.0,6.75,2.9999999999999996,0.0,2.0,2.0,0.0,0.0,20.0,2.9999999999999996,8.0,0.0,16.055555555555554,0.0,0.0,0.0,4.0,,0.0,0.0,62.574242842676966,49.82631350412505,114.66101694915254,16.764705882352942,47.17148846960166,77.30017636684305,2.0,3.333333333333333,2.0,9.0,4.0,0.0,21.93905817174515,0.0
Forestry,0.0,3.428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.488294314381278,4.499999999999999,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fishery,0.0,0.0,2.0,0.0,0.0,0.0,69.19708871125876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,0.0,4.0,4.000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mining of Oil and Gas,126.0317840967734,0.0,0.0,50.119115685153425,0.0,0.0,190.36848651479445,38.23602484472049,,3.5,,53.4138888888889,5.0,310.3136700648749,458.2984411596262,18.000000000000004,35.71428571428571,82.79008970237041,90.20535211267605,50.50397877984085,0.0,0.0,11.52,0.0,8.166666666666666,5.999999999999999,,11.203703703703704,54.98181818181818,6.0,5.5,0.0,,3.75,4.0,75.92994957983191,20.504570158102762,6.0,1.0,0.0,8.654545454545456,,21.979289940828405,33.416959605303724,0.0,1.0,1.0,0.0,6.0,0.0,3.0,1.0,,5.25,5.671296296296296,,1.2,1.0,4.0,0.0,0.0,,1.0,,0.5,1.0,2.9999999999999996,0.0,19.913630229419702,26.75925925925926,11.347826086956522,29.471720116618076,2.8,1.0,2.0,11.708683473389355,20.12581168831169,,2.5,0.0
Remainder Mining of Resources (No Oil and Gas),17.0,0.0,0.0,0.0,141.05861493533584,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.12111844598232,0.0,0.0,113.24193548387098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.7544194935499,138.86527128632392,84.09210526315788,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Supporting Activities of Resource Mining,0.0,0.0,0.0,12.352941176470589,0.0,56.01511503763412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Food supplement Industry,4300.734690170037,0.0,14.765625000000004,1.0,0.0,0.0,7719.57044540238,157.62016221621423,1.0,8.080808080808081,0.0,63.783730158730165,1.0,117.53925696594426,250.92880232076254,269.04236174013687,20.833333333333332,0.0,2.0,5.25,0.0,4.499999999999999,4.0,,1.0,2.6666666666666665,,1.0,20.319444444444446,inf,202.85356270574493,0.5,,19.71428571428571,7.111111111111111,211.38490330630066,11.11111111111111,7.5,0.0,1.0,1.0,1.0,279.25601953093366,1367.8692761286554,1.4999999999999998,3.5555555555555554,,0.0,4.861111111111112,0.0,4.999999999999998,7.5,16.0,19.591836734693878,2.0,2.25,46.409136120832564,2.6666666666666665,10.90909090909091,1.0,8.0,0.0,1.0,1.0,4.499999999999999,0.0,0.0,1.0,85.97097869712874,46.022727272727266,213.5641050640792,555.9478593994805,16.0,24.074074074074076,6.0,98.143215480172,2.0,0.0,32.037695590327175,0.0
Beverage Industry,2.0,0.0,0.0,0.0,0.0,0.0,22.20689655172414,97.89856536674073,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,inf,0.0,0.5,0.0,0.0,inf,0.0,0.0,0.0,1.0,0.0,0.0,2.0,15.833333333333332,2.6666666666666665,1.0,0.0,0.0,1.0,0.0,23.711999999999996,408.400744325665,,0.0,0.0,0.0,1.0,0.0,2.0,3.0,2.6666666666666665,0.0,0.0,0.5,6.75,2.0,,0.0,0.0,0.0,0.0,4.499999999999999,3.0,1.0,0.0,1.0,7.289999999999998,17.142857142857146,4.0,21.452727272727273,5.142857142857142,2.0,12.000000000000002,246.12084805123703,4.266666666666667,0.0,11.928994082840239,0.0
Tobacco Industry,29.45454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.99271876792727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Textile, Clothing and Leather Industry",2.0,0.0,0.5,0.0,0.0,0.0,6.0,2.5,0.0,282.3766990291262,5.0,8.0,6.666666666666667,0.0,7.0,1.0,11.510416666666666,6.125,0.0,3.5555555555555554,0.0,23.0,11.209183673469388,19.0,2.0,3.0,4.0,0.0,0.0,0.0,4.0,17.839506172839506,15.866666666666667,15.9375,3.2,23.0,14.181818181818182,0.0,0.5,0.0,4.0,0.0,2.0,1.1249999999999998,14.857142857142858,1.0,1.0,6.125,0.0,10.0,0.0,0.0,0.0,1.0,4.499999999999999,1.0,40.98461538461538,1.0,0.0,inf,0.0,0.0,6.0,0.0,0.0,9.398601398601398,103.0,2.0,13.066666666666666,4.8,13.357142857142858,15.882352941176473,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0
